"filename", "language", "JSON", "JavaScript", "Log", "TypeScript", "HTML", "Draw.io", "SCSS", "comment", "blank", "total"
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe-tool\recipe-tools-modal\recipe-tools-modal.component.ts", "TypeScript", 0, 0, 0, -226, 0, 0, 0, -2, -18, -246
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe\add-recipe-modal\add-recipe-modal.component.html", "HTML", 0, 0, 0, 0, -219, 0, 0, -2, -4, -225
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipe\add-recipe-modal\add-recipe-modal.component.ts", "TypeScript", 0, 0, 0, -208, 0, 0, 0, -2, -22, -232
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipes-info\recipes-info.component.html", "HTML", 0, 0, 0, 0, -4, 0, 0, 0, -1, -5
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\feature\recipes-page\ui\recipes-info\recipes-info.component.ts", "TypeScript", 0, 0, 0, -10, 0, 0, 0, 0, -3, -13
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\state\recipe-category\recipe-category-actions.ts", "TypeScript", 0, 0, 0, -76, 0, 0, 0, 0, -7, -83
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\state\recipe-category\recipe-category-effects.ts", "TypeScript", 0, 0, 0, -141, 0, 0, 0, 0, -7, -148
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\state\recipe-category\recipe-category-reducers.ts", "TypeScript", 0, 0, 0, -116, 0, 0, 0, 0, -3, -119
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\state\recipe-category\recipe-category-selectors.ts", "TypeScript", 0, 0, 0, -17, 0, 0, 0, 0, -8, -25
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\state\recipe-category\recipe-category-state.ts", "TypeScript", 0, 0, 0, -19, 0, 0, 0, 0, -2, -21
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\state\recipe-ingredient\recipe-ingredient-actions.ts", "TypeScript", 0, 0, 0, -76, 0, 0, 0, 0, -7, -83
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\state\recipe-ingredient\recipe-ingredient-effects.ts", "TypeScript", 0, 0, 0, -196, 0, 0, 0, 0, -8, -204
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\state\recipe-ingredient\recipe-ingredient-reducers.ts", "TypeScript", 0, 0, 0, -134, 0, 0, 0, 0, -4, -138
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\state\recipe-ingredient\recipe-ingredient-selectors.ts", "TypeScript", 0, 0, 0, -18, 0, 0, 0, 0, -9, -27
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\state\recipe-ingredient\recipe-ingredient-state.ts", "TypeScript", 0, 0, 0, -22, 0, 0, 0, 0, -2, -24
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\state\recipe-page-actions.ts", "TypeScript", 0, 0, 0, -8, 0, 0, 0, 0, -1, -9
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\state\recipe-page-reducers.ts", "TypeScript", 0, 0, 0, -10, 0, 0, 0, 0, -2, -12
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\state\recipe-page-selectors.ts", "TypeScript", 0, 0, 0, -4, 0, 0, 0, 0, -2, -6
"c:\Users\Josh\repos\doughleap\frontend\src\app\recipes\state\recipe-page-state.ts", "TypeScript", 0, 0, 0, -3, 0, 0, 0, 0, 0, -3
